color,stool_type
#885713,1
#956900,1
#b5b67d,2
#806e0c,1
#a2985d,2
#96935e,2
#623f0b,1
#5c4a26,1
#9f7d42,3
#87521e,3
#3f2a1f,3
#4d3c2c,3
#9d924c,2
#887f34,3
#54430b,1
#51503b,3
#af9048,2
#7a510b,1
#8b7251,3
#795519,3
#403107,1
#9e822d,1
#5d5600,1
#443715,1
#534d0b,1
#322a08,1
#865314,1
#2e2212,3
#906207,1
#774810,1
#af7b28,1
#6b4619,1
#715018,1
#8f650f,1
#97731f,1
#4a3902,1
#bb8952,2
#8a5e18,3
#c09f72,2
#7d4a05,1
#bf812e,3
#594009,1
#574c1d,1
#cca00d,1
#9f8b50,2
#9f7020,1
#9e5707,1
#866f2c,3
#4a3615,1
#b37f1e,1
#846330,3
#a16a0d,1
#d37f13,1
#33290c,1
#724413,1
#905803,1
#90792d,3
#574014,1
#b4b3a1,2
#a88c65,2
#604f24,1
#9a9251,2
#ba9465,2
#6b4014,1
#92580b,1
#94620b,1
#a35823,3
#de943b,3
#c6aa00,1
#886140,3
#c27832,3
#94800d,1
#a16328,1
#614517,1
#bd9f2f,2
#694903,1
#7e502c,3
#4d3624,3
#8e6910,1
#3d3413,1
#6a4b15,1
#663b18,1
#ac7d0c,1
#7e490d,1
#c68d24,3
#906902,1
#b35b27,3
#2a2e14,1
#ad6f24,1
#b15913,3
#d3bb4d,2
#734208,1
#8e6708,1
#b9942c,3
#a98407,1
#b08040,3
#865e09,1
#dbd698,2
#794d10,1
#ab891c,1
#684c12,1
#8f8761,3
#654014,1
#663820,1
#4b420b,1
#d0b210,1
#5b4309,1
#864c05,1
#ab9033,2
#977802,1
#b0a166,2
#b98d02,1
#694515,1
#854b0e,1
#6d4111,1
#a77b1b,1
#beac7e,2
#9b641e,1
#977b34,3
#734a0e,1
#705417,1
#724407,1
#593916,1
#724717,1
#604528,1
#643c15,1
#5c361b,1
#753b17,1
#6a4606,1
#4b3c11,1
#b0874d,2
#926627,3
#907037,3
#6a3700,1
#a49061,2
#b29657,2
#978529,1
#694c3a,3
#d4ce80,2
#c1a75a,2
#b7b068,2
#a0652e,1
#d08c05,1
#4f422f,1
#9f904b,2
#8b4f05,1
#cfcc99,2
#877333,3
#1e0d05,3
#ab9997,3
#997a22,1
#b39e46,2
#453208,1
#603709,1
#573313,1
#89650f,1
#996e2b,1
#d2a772,2
#d69b51,3
#784503,1
#716d26,3
#c18646,3
#9d6f1c,1
#e2a356,3
#9f6327,1
#b36221,1
#ad601c,3
#b9702e,1
#73350e,1
#b1722f,3
#af6411,1
#4e4117,1
#604613,1
#947831,3
#a7a074,2
#563c1a,1
#95855c,2
#52401a,1
#b5b74a,2
#9f8553,2
#614410,1
#ae9e63,2
#9f872c,1
#c4b37b,2
#b3b588,2
#604d2f,1
#b29531,2
#99800c,1
#5a531f,1
#82632d,3
#ac9768,2
#958049,3
#5b220f,1
#7b4310,1
#9d8c30,2
#bf9467,2
#b38c31,2
#4f3910,1
#d0b453,2
#a2872c,1
#585e44,3
#86670d,1
#5e4c1c,1
#3c3910,1
#8a6a15,1
#201c11,3
#635024,1
#593b09,1
#967c1a,1
#4e4018,1
#c49403,1
#8f782c,3
#2d180c,3
#4b4110,1
#936f0f,1
#d7b844,2
#544f27,1
#8b682e,3
#a96c12,1
#a17b0e,1
#ad7e16,1
#5c4013,1
#bd8d20,3
#ab8e47,2
#a77e2e,1
#ded078,2
#bfa652,2
#c48e21,3
#5d3d10,1
#402310,3
#77410f,1
#654415,1
#664013,1
#d8cf8e,2
#b79750,2
#a18651,2
#d2b772,2
#61431d,1
#c29a5c,2
#9a8741,2
#9f7f08,1
#575316,1
#a07025,1
#75580c,1
#704c2a,1
#5d4509,1
#836c0c,1
#af7200,1
#a8935a,2
#4f4b28,1
#856413,1
#ae6b12,1
#aa894b,2
#aa8956,2
#544013,1
#c6b89e,2
#b38315,1
#b06114,1
#a16b07,1
#876907,1
#b19049,2
#d59500,1
#c68f10,1
#a5711e,1
#845213,1
#c8dada,2
#58360d,1
#b4a44d,2
#664a0b,1
#715525,1
#af8d12,1
#ada885,2
#b3a042,2
#ab9240,2
#75511f,1
#a8884b,2
#b29b6f,2
#564823,1
#9e8123,1
#7c4f00,1
#816013,1
#6f4e17,1
#221914,3
#978541,2
#ac9f5a,2
#846c14,1
#b3993a,2
#4e422a,1
#805803,1
#7c5603,1
#3f4014,1
#c6aa53,2
#adaca8,2
#815b12,1
#cb810a,1
#664212,1
#30250f,3
#cbc3b8,2
#c07d0c,1
#a4923e,2
#403014,1
#d4940e,1
#a19048,2
#b7762e,1
#54462e,1
#513331,1
#ddd0bf,2
#2c1213,3
#874b0d,1
#a06810,1
#bfbba6,2
#553e1f,1
#a89978,2
#553a1d,1
#6d5529,1
#bda694,2
#442310,3
#bdb0a6,2
#baab84,2
#b58c54,2
#67532e,1
#67532e,1
#ccbf9f,2
#5b500e,1
#9b7208,1
#9b7208,1
#363306,1
#b16d1e,1
#a86c28,1
#5c4834,1
#d0bf93,2
#9e8857,2
#421900,3
#4f4416,1
#444d0a,1
#784f0b,1
#a2881a,1
#5e2e08,1
#371200,3
#9c5306,1
#675436,1
#b59f2f,2
#b8810a,1
#894f0f,1
#b38d40,2
#493e08,1
#672b13,1
#6a4008,1
#8a710a,1
#2c2115,3
#2c1b14,3
#291c13,3
#a97a06,1
#915c10,1
#9c6c02,1
#73360a,1
#dcb191,2
#bc874f,2
#a0612a,1
#8f4814,1
#ccbb8d,2
#bf915f,2
#cd954b,2
#cc9948,2
#765023,1
#675031,1
#311b0c,3
#937010,1
#cfc88c,2
#a39f0a,1
#b59735,2
#b89962,2
#bf954b,2
#c89b58,2
#503203,1
#ddd2cc,2
#a78466,2
#9b8d6a,2
#592b11,1
#c1a866,2
#bbab64,2
#deb772,2
#deb772,2
#643906,1
#785f0b,1
#774d27,1
#9e8952,2
#6a542b,1
#826000,1
#b38f53,2
#b1712a,1
#5e5538,1
#b8b878,2
#ae8640,2
#5a5339,1
#654d03,1
#6d5c00,1
#91710e,1
#655522,1
#24220d,3
#211b0d,3
#b57c25,1
#473400,1
#876d10,1
#c9ac74,2
#6d5114,1
#613d09,1
#6f4e18,1
#a58d47,2
#5c3806,1
#9a8206,1
#414007,1
#a07b20,1
#634300,1
#b37b26,1
#7a6d0d,1
#9e662d,1
#b97f13,1
#8f650f,1
#ac8536,2
#64560b,1
#97610d,1
#4d380d,1
#644b08,1
#9b924d,2
#c7ccac,2
#26320e,1
#bfa540,2
#9e6619,1
#583610,1
#ca9815,1
#b08946,2
#8f7f04,1
#b38b4b,2
#b49561,2
#b1892a,1
#beab8b,2
#845713,1
#54511c,1
#bb6e16,1
#bba24e,2
#594a23,1
#cda462,2
#807614,1
#cd9f42,2
#ac8746,2
#603a0d,1
#825b0c,1
#694f2a,1
#70660d,1
#604818,1
#36260f,3
#b57f1f,1
#403313,1
#3e3013,1
#403112,1
#af7915,1
#a4a868,2
#7e3700,1
#703d08,1
#dfd041,2
#ad6616,1
#b67f2e,1
#a4a146,2
#d2bc7b,2
#3e4114,1
#7b7f28,1
#513301,1
#969636,2
#b49015,1
#6e4612,1
#a7651b,1
#514221,1
#584f2e,1
#ac7902,1
#a27927,1
#61470e,1
#d4a205,1
#a58463,2
#99692b,1
#9d8e4d,2
#9c8856,2
#b68e59,2
#976d24,1
#aa8f48,2
#c99860,2
#9e8531,2
#604a33,1
#6a4300,1
#5b5231,1
#624a30,1
#5d4930,1
#b68620,1
#504228,1
#5b512e,1
#574b25,1
#a37a0e,1
#512613,1
#72421c,1
#ba8f48,2
#b7821c,1
