color,poopmd_type,five_expert_type,six_expert_type
#885713,1.0,1.0,1.0
#956900,1.0,1.0,1.0
#b5b67d,2.0,3.0,3.0
#806e0c,1.0,1.0,1.0
#a2985d,2.0,2.0,3.0
#96935e,2.0,3.0,3.0
#623f0b,1.0,1.0,1.0
#5c4a26,1.0,1.0,1.0
#9f7d42,3.0,1.0,1.0
#87521e,3.0,1.0,1.0
#3f2a1f,3.0,1.0,1.0
#9d924c,2.0,3.0,3.0
#54430b,1.0,1.0,1.0
#51503b,3.0,1.0,1.0
#af9048,2.0,1.0,1.0
#795519,3.0,1.0,1.0
#403107,1.0,1.0,1.0
#9e822d,1.0,1.0,1.0
#5d5600,1.0,1.0,1.0
#534d0b,1.0,1.0,1.0
#322a08,1.0,1.0,1.0
#865314,1.0,1.0,1.0
#906207,1.0,1.0,1.0
#6b4619,1.0,1.0,1.0
#715018,1.0,1.0,1.0
#8f650f,1.0,1.0,1.0
#97731f,1.0,1.0,1.0
#4a3902,1.0,1.0,1.0
#bb8952,2.0,1.0,3.0
#8a5e18,3.0,1.0,1.0
#c09f72,2.0,2.0,3.0
#7d4a05,1.0,1.0,1.0
#bf812e,3.0,1.0,1.0
#594009,1.0,1.0,1.0
#574c1d,1.0,1.0,1.0
#cca00d,1.0,1.0,1.0
#9f8b50,2.0,3.0,3.0
#9f7020,1.0,1.0,1.0
#9e5707,1.0,1.0,1.0
#866f2c,3.0,1.0,1.0
#4a3615,1.0,1.0,1.0
#b37f1e,1.0,1.0,1.0
#846330,3.0,1.0,1.0
#a16a0d,1.0,1.0,1.0
#d37f13,1.0,1.0,1.0
#33290c,1.0,1.0,1.0
#724413,1.0,1.0,1.0
#802c10,3.0,1.0,1.0
#905803,1.0,1.0,1.0
#90792d,3.0,1.0,1.0
#574014,1.0,1.0,1.0
#b4b3a1,2.0,2.0,2.0
#a88c65,2.0,3.0,3.0
#604f24,1.0,1.0,1.0
#9a9251,2.0,3.0,3.0
#ba9465,2.0,1.0,1.0
#6b4014,1.0,1.0,1.0
#92580b,1.0,1.0,1.0
#94620b,1.0,1.0,1.0
#a35823,3.0,1.0,1.0
#c6aa00,1.0,1.0,1.0
#886140,3.0,1.0,1.0
#94800d,1.0,1.0,1.0
#a16328,1.0,1.0,1.0
#614517,1.0,1.0,1.0
#bd9f2f,2.0,1.0,1.0
#7e502c,3.0,1.0,1.0
#4d3624,3.0,1.0,1.0
#7c4f00,1.0,1.0,1.0
#816013,1.0,1.0,1.0
#8e6910,1.0,1.0,1.0
#3d3413,1.0,1.0,1.0
#6a4b15,1.0,1.0,1.0
#663b18,1.0,1.0,1.0
#ac7d0c,1.0,1.0,1.0
#7e490d,1.0,1.0,1.0
#c68d24,3.0,1.0,1.0
#906902,1.0,1.0,1.0
#b35b27,3.0,1.0,1.0
#2a2e14,1.0,1.0,1.0
#ad6f24,1.0,1.0,1.0
#b15913,3.0,1.0,1.0
#d3bb4d,2.0,1.0,3.0
#734208,1.0,1.0,1.0
#8e6708,1.0,1.0,1.0
#b08040,3.0,1.0,3.0
#865e09,1.0,1.0,1.0
#dbd698,2.0,2.0,3.0
#794d10,1.0,1.0,1.0
#ab891c,1.0,1.0,1.0
#684c12,1.0,1.0,1.0
#8f8761,3.0,2.0,3.0
#654014,1.0,1.0,1.0
#663820,1.0,1.0,1.0
#4b420b,1.0,1.0,1.0
#d0b210,1.0,1.0,1.0
#5b4309,1.0,1.0,1.0
#864c05,1.0,1.0,1.0
#ab9033,2.0,1.0,1.0
#977802,1.0,1.0,1.0
#b0a166,2.0,3.0,3.0
#b98d02,1.0,1.0,1.0
#694515,1.0,1.0,1.0
#854b0e,1.0,1.0,1.0
#6d4111,1.0,1.0,1.0
#a77b1b,1.0,1.0,1.0
#beac7e,2.0,2.0,2.0
#9b641e,1.0,1.0,1.0
#977b34,3.0,1.0,1.0
#734a0e,1.0,1.0,1.0
#724717,1.0,1.0,1.0
#604528,1.0,1.0,1.0
#4b3c11,1.0,1.0,1.0
#b0874d,2.0,1.0,3.0
#926627,3.0,1.0,1.0
#907037,3.0,1.0,1.0
#6a3700,1.0,1.0,1.0
#a49061,2.0,1.0,1.0
#b29657,2.0,1.0,1.0
#978529,1.0,1.0,1.0
#694c3a,3.0,1.0,1.0
#d4ce80,2.0,2.0,3.0
#c1a75a,2.0,3.0,3.0
#b7b068,2.0,1.0,1.0
#d08c05,1.0,1.0,1.0
#4f422f,1.0,1.0,1.0
#9f904b,2.0,1.0,3.0
#8b4f05,1.0,1.0,1.0
#cfcc99,2.0,2.0,3.0
#877333,3.0,1.0,1.0
#1e0d05,3.0,1.0,1.0
#ab9997,3.0,3.0,3.0
#997a22,1.0,1.0,1.0
#453208,1.0,1.0,1.0
#603709,1.0,1.0,1.0
#573313,1.0,1.0,1.0
#89650f,1.0,1.0,1.0
#996e2b,1.0,1.0,1.0
#d2a772,2.0,3.0,3.0
#784503,1.0,1.0,1.0
#716d26,3.0,1.0,1.0
#c18646,3.0,1.0,1.0
#9d6f1c,1.0,1.0,1.0
#e2a356,3.0,1.0,3.0
#9f6327,1.0,1.0,1.0
#b36221,1.0,1.0,1.0
#b9702e,1.0,1.0,1.0
#73350e,1.0,1.0,1.0
#af6411,1.0,1.0,1.0
#4e4117,1.0,1.0,1.0
#604613,1.0,1.0,1.0
#947831,3.0,1.0,1.0
#a7a074,2.0,3.0,3.0
#563c1a,1.0,1.0,1.0
#95855c,2.0,3.0,3.0
#52401a,1.0,1.0,1.0
#b5b74a,2.0,3.0,3.0
#9f8553,2.0,1.0,3.0
#614410,1.0,1.0,1.0
#ae9e63,2.0,3.0,3.0
#9f872c,1.0,1.0,1.0
#c4b37b,2.0,2.0,3.0
#b3b588,2.0,3.0,3.0
#604d2f,1.0,1.0,1.0
#b29531,2.0,1.0,1.0
#99800c,1.0,1.0,1.0
#5a531f,1.0,1.0,1.0
#82632d,3.0,1.0,1.0
#ac9768,2.0,1.0,1.0
#958049,3.0,1.0,1.0
#5b220f,1.0,1.0,1.0
#7b4310,1.0,1.0,1.0
#9d8c30,2.0,1.0,1.0
#bf9467,2.0,2.0,2.0
#4f3910,1.0,1.0,1.0
#d0b453,2.0,1.0,1.0
#585e44,3.0,1.0,1.0
#86670d,1.0,1.0,1.0
#5e4c1c,1.0,1.0,1.0
#3c3910,1.0,1.0,1.0
#201c11,3.0,1.0,1.0
#635024,1.0,1.0,1.0
#593b09,1.0,1.0,1.0
#967c1a,1.0,1.0,1.0
#4e4018,1.0,1.0,1.0
#c49403,1.0,1.0,1.0
#2d180c,3.0,1.0,1.0
#4b4110,1.0,1.0,1.0
#936f0f,1.0,1.0,1.0
#d7b844,2.0,1.0,1.0
#544f27,1.0,1.0,1.0
#8b682e,3.0,1.0,1.0
#a96c12,1.0,1.0,1.0
#a17b0e,1.0,1.0,1.0
#ad7e16,1.0,1.0,1.0
#5c4013,1.0,1.0,1.0
#bd8d20,3.0,1.0,1.0
#ab8e47,2.0,1.0,1.0
#a77e2e,1.0,1.0,1.0
#c48e21,3.0,1.0,1.0
#5d3d10,1.0,1.0,1.0
#402310,3.0,1.0,1.0
#77410f,1.0,1.0,1.0
#9e8123,1.0,1.0,1.0
#664013,1.0,1.0,1.0
#d8cf8e,2.0,2.0,2.0
#b79750,2.0,1.0,3.0
#a18651,2.0,3.0,3.0
#d2b772,2.0,3.0,3.0
#61431d,1.0,1.0,1.0
#c29a5c,2.0,3.0,3.0
#9a8741,2.0,1.0,3.0
#9f7f08,1.0,1.0,1.0
#575316,1.0,1.0,1.0
#a07025,1.0,1.0,1.0
#75580c,1.0,1.0,1.0
#704c2a,1.0,1.0,1.0
#5d4509,1.0,1.0,1.0
#836c0c,1.0,1.0,1.0
#af7200,1.0,1.0,1.0
#a8935a,2.0,3.0,3.0
#4f4b28,1.0,1.0,1.0
#856413,1.0,1.0,1.0
#ae6b12,1.0,1.0,1.0
#aa894b,2.0,1.0,3.0
#aa8956,2.0,1.0,3.0
#544013,1.0,1.0,1.0
#c6b89e,2.0,2.0,2.0
#b38315,1.0,1.0,1.0
#b06114,1.0,1.0,1.0
#a16b07,1.0,1.0,1.0
#876907,1.0,1.0,1.0
#b19049,2.0,1.0,1.0
#d59500,1.0,1.0,1.0
#c68f10,1.0,1.0,1.0
#a5711e,1.0,1.0,1.0
#845213,1.0,1.0,1.0
#c8dada,2.0,3.0,3.0
#58360d,1.0,1.0,1.0
#b4a44d,2.0,1.0,1.0
#664a0b,1.0,1.0,1.0
#715525,1.0,1.0,1.0
#af8d12,1.0,1.0,1.0
#ada885,2.0,3.0,3.0
